show_id,rating
s1,PG-13
s2,TV-MA
s3,TV-MA
s4,TV-MA
s5,TV-MA
s6,TV-MA
s7,PG
s8,TV-MA
s9,TV-14
s10,PG-13
s11,TV-MA
s12,TV-MA
s13,TV-MA
s14,TV-PG
s15,TV-MA
s16,TV-MA
s17,TV-MA
s18,TV-MA
s19,TV-14
s20,TV-MA
s21,TV-14
s22,TV-14
s23,TV-PG
s24,TV-Y
s25,TV-14
s26,TV-14
s27,TV-PG
s28,PG-13
s29,PG-13
s30,PG-13
s31,TV-14
s32,TV-MA
s33,TV-MA
s34,TV-MA
s35,TV-Y7
s36,TV-MA
s37,TV-MA
s38,TV-Y7
s39,PG-13
s40,TV-Y7
s41,TV-Y7
s42,PG
s43,PG
s44,PG
s45,PG-13
s46,PG
s47,R
s48,TV-MA
s49,R
s50,TV-MA
s51,TV-PG
s52,TV-14
s1180,TV-Y7
s53,TV-14
s54,TV-PG
s55,TV-PG
s56,TV-PG
s57,TV-14
s58,TV-PG
s59,TV-PG
s60,TV-PG
s61,TV-14
s62,TV-PG
s63,TV-PG
s64,TV-PG
s65,TV-PG
s66,TV-Y
s67,TV-G
s68,TV-PG
s69,TV-14
s70,TV-PG
s71,TV-MA
s72,TV-Y
s73,TV-MA
s74,TV-MA
s75,TV-PG
s76,TV-G
s77,TV-14
s78,TV-Y7
s79,TV-14
s80,TV-14
s81,TV-Y7
s82,R
s83,TV-14
s84,TV-MA
s85,TV-MA
s86,TV-Y7
s87,TV-MA
s88,TV-Y
s89,PG-13
s90,TV-Y7
s91,TV-MA
s92,TV-14
s93,TV-MA
s94,TV-MA
s95,PG
s96,TV-MA
s97,TV-MA
s98,TV-Y7
s99,TV-Y
s100,TV-MA
s101,TV-Y7
s102,TV-MA
s103,TV-14
s1181,TV-Y7
s104,TV-MA
s105,TV-Y
s106,TV-14
s107,TV-G
s108,G
s109,TV-G
s110,TV-MA
s111,TV-MA
s112,TV-Y
s113,PG-13
s114,TV-PG
s115,TV-14
s116,PG
s117,TV-PG
s118,PG-13
s119,TV-14
s120,TV-MA
s121,TV-Y7
s122,TV-14
s123,R
s124,TV-Y7
s125,TV-Y7
s126,TV-MA
s127,TV-14
s128,PG
s129,PG-13
s130,PG-13
s131,TV-Y
s132,R
s133,TV-MA
s134,R
s135,PG-13
s136,R
s137,R
s138,PG
s139,PG-13
s140,R
s141,TV-MA
s142,R
s143,PG-13
s144,PG-13
s145,R
s146,R
s147,R
s148,TV-PG
s149,TV-14
s150,R
s151,R
s152,TV-14
s153,TV-MA
s154,TV-Y
s155,TV-MA
s156,PG
s157,PG
s158,TV-14
s159,PG-13
s160,TV-MA
s161,TV-PG
s162,PG-13
s163,PG-13
s164,R
s165,PG-13
s166,TV-MA
s167,R
s168,PG
s169,PG
s170,PG-13
s171,R
s172,PG-13
s173,PG-13
s174,PG-13
s175,R
s176,R
s177,PG-13
s178,TV-14
s179,R
s180,PG-13
s181,PG-13
s182,TV-14
s183,PG-13
s184,R
s185,TV-PG
s186,TV-MA
s187,TV-14
s188,TV-G
s189,TV-MA
s190,TV-Y
s191,TV-14
s192,R
s193,TV-14
s194,TV-MA
s195,TV-MA
s196,TV-14
s197,TV-14
s198,TV-Y7
s199,TV-MA
s200,TV-14
s201,TV-14
