show_id,genre,release_year
s1,Documentaries,2020
s2,International Tv Shows,2021
s2,Tv Dramas,2021
s2,Tv Mysteries,2021
s3,Crime Tv Shows,2021
s3,International Tv Shows,2021
s3,Tv Action & Adventure,2021
s4,Docuseries,2021
s4,Reality Tv,2021
s5,International Tv Shows,2021
s5,Romantic Tv Shows,2021
s5,Tv Comedies,2021
s6,Tv Dramas,2021
s6,Tv Horror,2021
s6,Tv Mysteries,2021
s7,Children & Family Movies,2021
s8,Dramas,1993
s8,Independent Movies,1993
s8,International Movies,1993
s9,British Tv Shows,2021
s9,Reality Tv,2021
s10,Comedies,2021
s10,Dramas,2021
s11,Crime Tv Shows,2021
s11,Docuseries,2021
s11,International Tv Shows,2021
s12,Crime Tv Shows,2021
s12,International Tv Shows,2021
s12,Tv Action & Adventure,2021
s13,Dramas,2021
s13,International Movies,2021
s14,Children & Family Movies,2021
s14,Comedies,2021
s15,British Tv Shows,2021
s15,Crime Tv Shows,2021
s15,Docuseries,2021
s16,Tv Comedies,2021
s16,Tv Dramas,2021
s17,Documentaries,2020
s17,International Movies,2020
s18,Crime Tv Shows,2020
s18,Spanish-Language Tv Shows,2020
s18,Tv Dramas,2020
s19,Thrillers,2021
s20,International Tv Shows,2021
s20,Spanish-Language Tv Shows,2021
s20,Tv Action & Adventure,2021
s21,Crime Tv Shows,2021
s21,Docuseries,2021
s21,International Tv Shows,2021
s22,International Tv Shows,2018
s22,Tv Action & Adventure,2018
s22,Tv Dramas,2018
s23,Comedies,1996
s23,International Movies,1996
s24,Children & Family Movies,2021
s25,Comedies,1998
s25,International Movies,1998
s25,Romantic Movies,1998
s26,Docuseries,2021
s26,International Tv Shows,2021
s26,Reality Tv,2021
s27,Comedies,1997
s27,International Movies,1997
s27,Music & Musicals,1997
s28,Comedies,2010
s29,Horror Movies,2013
s29,Sci-Fi & Fantasy,2013
s30,Thrillers,2013
s31,Dramas,2021
s31,Independent Movies,2021
s31,International Movies,2021
s32,Tv Comedies,2021
s33,British Tv Shows,2020
s33,International Tv Shows,2020
s33,Tv Comedies,2020
s34,International Tv Shows,2021
s34,Tv Dramas,2021
s34,Tv Thrillers,2021
s35,Kids' Tv,2020
s36,Dramas,2021
s36,International Movies,2021
s36,Thrillers,2021
s37,Action & Adventure,2021
s37,Dramas,2021
s37,International Movies,2021
s38,Kids' Tv,2018
s38,Tv Comedies,2018
s39,Action & Adventure,2017
s39,Dramas,2017
s40,Kids' Tv,2021
s41,Kids' Tv,2021
s41,Tv Sci-Fi & Fantasy,2021
s42,Action & Adventure,1975
s42,Classic Movies,1975
s42,Dramas,1975
s43,Dramas,1978
s43,Horror Movies,1978
s43,Thrillers,1978
s44,Action & Adventure,1983
s44,Horror Movies,1983
s44,Thrillers,1983
s45,Action & Adventure,1987
s45,Horror Movies,1987
s45,Thrillers,1987
s46,Documentaries,2021
s47,Action & Adventure,2012
s48,International Tv Shows,2020
s48,Romantic Tv Shows,2020
s48,Tv Comedies,2020
s49,Dramas,2001
s49,Thrillers,2001
s50,International Tv Shows,2021
s50,Tv Dramas,2021
s51,International Tv Shows,2014
s51,Tv Dramas,2014
s51,Tv Sci-Fi & Fantasy,2014
s52,Action & Adventure,2002
s52,Anime Features,2002
s52,International Movies,2002
s1180,Kids' Tv,2010
s53,Action & Adventure,2003
s53,Anime Features,2003
s53,International Movies,2003
s54,Action & Adventure,2004
s54,Anime Features,2004
s54,International Movies,2004
s55,Action & Adventure,2001
s55,Anime Features,2001
s55,International Movies,2001
s56,Reality Tv,2021
s57,Action & Adventure,2011
s57,Anime Features,2011
s57,International Movies,2011
s58,Action & Adventure,2008
s58,Anime Features,2008
s58,International Movies,2008
s59,Action & Adventure,2009
s59,Anime Features,2009
s59,International Movies,2009
s60,Action & Adventure,2007
s60,Anime Features,2007
s60,International Movies,2007
s61,Action & Adventure,2010
s61,Anime Features,2010
s61,International Movies,2010
s62,Action & Adventure,2005
s62,Anime Features,2005
s62,International Movies,2005
s63,Action & Adventure,2006
s63,Anime Features,2006
s63,International Movies,2006
s64,Action & Adventure,2004
s64,Anime Features,2004
s64,International Movies,2004
s65,Children & Family Movies,2021
s66,Kids' Tv,2021
s67,Docuseries,2014
s67,International Tv Shows,2014
s68,Kids' Tv,1994
s68,Tv Comedies,1994
s69,Documentaries,2021
s69,International Movies,2021
s69,Sports Movies,2021
s70,International Tv Shows,2015
s70,Tv Dramas,2015
s71,International Tv Shows,2021
s71,Reality Tv,2021
s71,Romantic Tv Shows,2021
s72,Children & Family Movies,2021
s73,British Tv Shows,2021
s73,Docuseries,2021
s73,International Tv Shows,2021
s74,Dramas,2018
s74,International Movies,2018
s75,Reality Tv,2021
s76,Children & Family Movies,2021
s77,Anime Series,2013
s77,International Tv Shows,2013
s78,Children & Family Movies,2021
s78,Comedies,2021
s79,Comedies,2020
s79,Dramas,2020
s79,International Movies,2020
s80,Comedies,2021
s80,Dramas,2021
s80,International Movies,2021
s81,Children & Family Movies,2021
s82,Action & Adventure,2021
s83,Crime Tv Shows,2021
s83,Tv Comedies,2021
s83,Tv Dramas,2021
s84,Reality Tv,2021
s85,Action & Adventure,2020
s85,Comedies,2020
s85,Dramas,2020
s86,Anime Series,2021
s86,Kids' Tv,2021
s87,International Movies,2021
s87,Thrillers,2021
s88,Kids' Tv,2019
s88,Korean Tv Shows,2019
s89,Documentaries,2021
s89,Sports Movies,2021
s90,Kids' Tv,2017
s91,Sci-Fi & Fantasy,2019
s91,Thrillers,2019
s92,Documentaries,2021
s92,International Movies,2021
s93,International Tv Shows,2021
s93,Tv Dramas,2021
s93,Tv Mysteries,2021
s94,Dramas,2021
s94,International Movies,2021
s94,Romantic Movies,2021
s95,Children & Family Movies,2018
s95,Comedies,2018
s96,Reality Tv,2021
s97,Documentaries,2018
s97,Music & Musicals,2018
s98,Kids' Tv,2021
s98,Tv Comedies,2021
s98,Tv Sci-Fi & Fantasy,2021
s99,British Tv Shows,2021
s99,Kids' Tv,2021
s100,Tv Comedies,2021
s100,Tv Dramas,2021
s101,Kids' Tv,2019
s102,Documentaries,2021
s102,Sports Movies,2021
s103,Docuseries,2021
s103,Science & Nature Tv,2021
s1181,Kids' Tv,2021
s1181,Tv Comedies,2021
s104,Dramas,2020
s104,International Movies,2020
s104,Thrillers,2020
s105,Kids' Tv,2016
s105,Korean Tv Shows,2016
s106,Action & Adventure,2017
s106,Comedies,2017
s106,Dramas,2017
s107,Kids' Tv,2021
s107,Tv Comedies,2021
s108,Children & Family Movies,2018
s108,Dramas,2018
s109,Kids' Tv,2021
s109,Tv Dramas,2021
s109,Teen Tv Shows,2021
s110,Crime Tv Shows,2021
s110,International Tv Shows,2021
s110,Spanish-Language Tv Shows,2021
s111,Docuseries,2021
s111,International Tv Shows,2021
s111,Spanish-Language Tv Shows,2021
s112,Kids' Tv,2021
s113,Dramas,2021
s114,Comedies,2021
s114,Romantic Movies,2021
s115,Dramas,1994
s115,International Movies,1994
s115,Thrillers,1994
s116,Dramas,2009
s116,Romantic Movies,2009
s117,Comedies,2015
s117,Dramas,2015
s117,Independent Movies,2015
s118,Documentaries,2021
s119,Dramas,2017
s119,International Movies,2017
s119,Thrillers,2017
s120,Dramas,2020
s120,International Movies,2020
s120,Romantic Movies,2020
s121,Kids' Tv,2021
s121,Tv Comedies,2021
s122,International Tv Shows,2019
s122,Romantic Tv Shows,2019
s122,Tv Comedies,2019
s123,Thrillers,2003
s124,Kids' Tv,2012
s125,Kids' Tv,2013
s125,Korean Tv Shows,2013
s126,Crime Tv Shows,2021
s126,Tv Action & Adventure,2021
s126,Tv Comedies,2021
s127,Dramas,2020
s127,International Movies,2020
s127,Romantic Movies,2020
s128,Children & Family Movies,2004
s128,Comedies,2004
s129,Dramas,2017
s129,International Movies,2017
s129,Thrillers,2017
s130,Dramas,2005
s131,Children & Family Movies,2021
s131,Music & Musicals,2021
s132,Action & Adventure,1982
s132,Classic Movies,1982
s132,Cult Movies,1982
s133,International Tv Shows,2021
s133,Tv Action & Adventure,2021
s133,Tv Comedies,2021
s134,Action & Adventure,2015
s134,Sci-Fi & Fantasy,2015
s135,Action & Adventure,1994
s135,Dramas,1994
s136,Action & Adventure,1993
s137,Dramas,2003
s137,Romantic Movies,2003
s138,Action & Adventure,2001
s138,Comedies,2001
s139,Dramas,2010
s139,Romantic Movies,2010
s140,Classic Movies,1989
s140,Comedies,1989
s140,Dramas,1989
s141,Dramas,2014
s141,International Movies,2014
s141,Thrillers,2014
s142,Action & Adventure,2015
s143,Dramas,2007
s144,Action & Adventure,2011
s144,Sci-Fi & Fantasy,2011
s145,Comedies,1990
s145,Cult Movies,1990
s146,Comedies,1991
s146,Cult Movies,1991
s146,Music & Musicals,1991
s147,Comedies,1994
s147,Music & Musicals,1994
s148,Reality Tv,2021
s149,Tv Shows,2020
s150,Action & Adventure,1998
s150,Comedies,1998
s151,Thrillers,1999
s152,Action & Adventure,2005
s152,International Movies,2005
s153,Comedies,2016
s154,Kids' Tv,2016
s155,Anime Series,2015
s155,International Tv Shows,2015
s155,Teen Tv Shows,2015
s156,Action & Adventure,1986
s156,Children & Family Movies,1986
s156,Cult Movies,1986
s157,Comedies,2010
s157,Dramas,2010
